Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes,Genre,Style,Votes,Comments,Weighted Rating
DECKS CLASSIX 002,Miss Kittin & The Hacker,1982 / Frank Sinatra,Decks Classix,"12"", RE, RM",4.74,2009,2057698,Techno,2024-12-08 10:56:54,,,,Electronic,"Techno, Electro",80,0,4.6477901938915585
"black hole 165-5 12""",Andain,Beautiful Things,Black Hole Recordings,"12""",4.66,2003,142402,progressive house,2024-12-07 09:34:06,,,,Electronic,"Progressive House, Progressive Trance",359,0,4.639764820980714
"F 119, 137.0119.30, 137 0119 30",Laurent Garnier,The Man With The Red Face,"F Communications, F Communications, F Communications","12""",4.63,2000,12994,Techno,2024-12-09 04:07:45,,,,Electronic,"Techno, Deep House",934,0,4.622481306145366
USM010-N,Coca + Villa,La Noche (New Edition),T.U.S.O.M. Recordings,"12""",4.72,2005,486641,progressive house,2024-12-08 10:37:26,,,,Electronic,Progressive House,43,0,4.572846986417656
"GPM 049-6, GPM049-6",Djuma Soundsystem,Les Djinns (Remixes),"Get Physical Music, Get Physical Music","12""",4.59,2006,740164,minimal,2024-12-09 03:11:36,,,,Electronic,"Breaks, Tech House, Minimal",242,0,4.564344836819556
DK 1,Thomas Krome,The Real Jazz,DK Records,"10""",4.58,1998,1406,Uncategorized,2024-12-10 12:07:17,,,,Electronic,"Techno, Deep House",190,0,4.548491559930424
SKRPT01,Julian Jeweil,Air Conditionné EP,Skryptöm Records,"12"", EP",4.58,2006,874572,minimal,2024-12-09 02:56:34,,,,Electronic,"Techno, Electro, Minimal",141,0,4.538530827263267
SKRPT01,Julian Jeweil,Air Conditionné EP,Skryptöm Records,"12"", EP",4.58,2006,874572,minimal,2024-12-09 05:31:23,,,,Electronic,"Techno, Electro, Minimal",141,0,4.538530827263267
SKRPT02,Popof,My Toyz E.P,Skryptöm Records,"12"", EP",4.6,2007,1053428,Uncategorized,2024-12-10 11:42:55,,,,Electronic,"Techno, Electro, Minimal",90,0,4.535502675248138
PREC001,Gill Norris,Forme,Precinct Recordings,"12""",4.59,2004,241037,Uncategorized,2025-01-22 04:08:08,,,,Electronic,"Progressive House, Progressive Trance",95,0,4.529745671796389
WNW012LP,AN-2,On Air,Was Not Was,"2x12""",4.68,2007,955582,House,2024-12-09 04:02:51,,,,Electronic,"Electro, Deep House",37,0,4.526515259329538
KARAT 37,Dolibox,Nervous Breakdown,Karat Records,"12""",4.83,2008,1519898,Uncategorized,2024-12-10 11:54:41,,,,Electronic,"House, Tech House",18,0,4.519758694556452
GEM 004,Egbert,Haasten EP,Gem Records (6),"12"", EP",4.75,2010,2323220,Uncategorized,2024-12-10 11:42:09,,,,Electronic,"Techno, Tech House",24,0,4.518217848047539
"COR12""029",Guy Gerber & Shlomi Aber,Sea Of Sand,Cocoon Recordings,"12""",4.53,2006,790262,Uncategorized,2024-12-10 10:48:56,,,,Electronic,Tech House,274,0,4.510112077172939
KUPEC 010,Valentino Kanzyani,Learning How To Do It,Consumer Recreation,"12""",4.55,2004,348696,Uncategorized,2024-12-10 11:28:41,,,,Electronic,Techno,131,0,4.508567436040044
